\begin{tabular}{c|ll|ll|ll|ll|ll}
\toprule
params & \multicolumn{2}{r}{ArcFace} & \multicolumn{2}{r}{Dlib} & \multicolumn{2}{r}{Facenet} & \multicolumn{2}{r}{face_recognition} & \multicolumn{2}{r}{VGG_Face} \\
eps & ARI & rel & ARI & rel & ARI & rel & ARI & rel & ARI & rel \\
4.0 & 0.138 & -11 & 0.004 & -15 & 0.352 & -12 & 0.690 & -10 & 0.315 & -10 \\
4.1 & 0.095 & -12 & 0.004 & -15 & 0.352 & -12 & 0.690 & -10 & 0.315 & -10 \\
4.2 & 0.097 & -13 & 0.004 & -15 & 0.352 & -12 & 0.690 & -10 & 0.313 & -11 \\
4.3 & 0.072 & -14 & 0.004 & -15 & 0.211 & -13 & 0.654 & -11 & 0.256 & -12 \\
4.4 & 0.072 & -14 & 0.004 & -15 & 0.211 & -13 & 0.411 & -12 & 0.256 & -12 \\
4.5 & 0.072 & -14 & 0.004 & -15 & 0.211 & -13 & 0.411 & -12 & 0.256 & -12 \\
4.6 & 0.072 & -14 & 0.004 & -15 & 0.211 & -13 & 0.257 & -13 & 0.212 & -13 \\
4.7 & 0.072 & -14 & 0.004 & -15 & 0.211 & -13 & 0.257 & -13 & 0.200 & -14 \\
4.8 & 0.072 & -14 & 0.000 & -16 & 0.211 & -13 & 0.257 & -13 & 0.200 & -14 \\
4.9 & 0.072 & -14 & 0.000 & -16 & 0.211 & -13 & 0.257 & -13 & 0.200 & -14 \\
5.0 & 0.072 & -14 & 0.000 & -16 & 0.211 & -13 & 0.257 & -13 & 0.200 & -14 \\
5.1 & 0.072 & -14 & 0.000 & -16 & 0.211 & -13 & 0.257 & -13 & 0.200 & -14 \\
5.2 & 0.072 & -14 & 0.000 & -16 & 0.211 & -13 & 0.225 & -14 & 0.200 & -14 \\
5.3 & 0.024 & -15 & 0.000 & -16 & 0.211 & -13 & 0.192 & -15 & 0.200 & -14 \\
5.4 & 0.024 & -15 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.200 & -14 \\
5.5 & 0.024 & -15 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.200 & -14 \\
5.6 & 0.024 & -15 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.200 & -14 \\
5.7 & 0.024 & -15 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.200 & -14 \\
5.8 & 0.024 & -15 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.200 & -14 \\
5.9 & 0.024 & -15 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.001 & -15 \\
6.0 & 0.024 & -15 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.001 & -15 \\
6.1 & 0.024 & -15 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.001 & -15 \\
6.2 & 0.024 & -15 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.001 & -15 \\
6.3 & 0.024 & -15 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
6.4 & 0.024 & -15 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
6.5 & 0.024 & -15 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
6.6 & 0.024 & -15 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
6.7 & 0.024 & -15 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
6.8 & 0.024 & -15 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
6.9 & 0.024 & -15 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
7.0 & 0.024 & -15 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
7.1 & 0.024 & -15 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
7.2 & 0.024 & -15 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
7.3 & 0.024 & -15 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
7.4 & 0.024 & -15 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
7.5 & 0.024 & -15 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
7.6 & 0.024 & -15 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
7.7 & 0.000 & -16 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
7.8 & 0.000 & -16 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
7.9 & 0.000 & -16 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
8.0 & 0.000 & -16 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
8.1 & 0.000 & -16 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
8.2 & 0.000 & -16 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
8.3 & 0.000 & -16 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
8.4 & 0.000 & -16 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
8.5 & 0.000 & -16 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
8.6 & 0.000 & -16 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
8.7 & 0.000 & -16 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
8.8 & 0.000 & -16 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
8.9 & 0.000 & -16 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
9.0 & 0.000 & -16 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
9.1 & 0.000 & -16 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
9.2 & 0.000 & -16 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
9.3 & 0.000 & -16 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
9.4 & 0.000 & -16 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
9.5 & 0.000 & -16 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
9.6 & 0.000 & -16 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
9.7 & 0.000 & -16 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
9.8 & 0.000 & -16 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
9.9 & 0.000 & -16 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
10.0 & 0.000 & -16 & 0.000 & -16 & 0.153 & -14 & 0.192 & -15 & 0.000 & -16 \\
\bottomrule
\end{tabular}
